"Station Name","HAMILTON A"
"Province","ONTARIO"
"Latitude","43.17"
"Longitude","-79.94"
"Elevation","237.70"
"Climate Identifier","6153193"
"WMO Identifier","71263"
"TC Identifier","YHM"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."
"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"
"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2014-02-01 00:00","2014","02","01","00:00","‡","-2.0","","-3.4","","90","","21","","9","","9.7","","99.13","","","","-5","","Fog"
"2014-02-01 01:00","2014","02","01","01:00","‡","-1.8","","-3.2","","90","","22","","11","","8.1","","99.18","","","","-6","","Fog"
"2014-02-01 02:00","2014","02","01","02:00","‡","-1.7","","-3.3","","89","","21","","12","","8.1","","99.16","","","","-6","","Fog"
"2014-02-01 03:00","2014","02","01","03:00","‡","-1.9","","-3.3","","90","","22","","9","","9.7","","99.19","","","","-5","","Snow Showers,Fog"
"2014-02-01 04:00","2014","02","01","04:00","‡","-2.8","","-4.1","","91","","19","","8","","8.1","","99.18","","","","-6","","Snow Showers,Fog"
"2014-02-01 05:00","2014","02","01","05:00","‡","-2.9","","-3.9","","93","","16","","10","","4.0","","99.21","","","","-7","","Snow Showers,Fog"
"2014-02-01 06:00","2014","02","01","06:00","‡","-3.2","","-4.0","","94","","16","","9","","4.0","","99.19","","","","-7","","Snow Showers,Fog"
"2014-02-01 07:00","2014","02","01","07:00","‡","-3.2","","-4.0","","94","","14","","9","","3.2","","99.13","","","","-7","","Snow Showers,Blowing Snow"
"2014-02-01 08:00","2014","02","01","08:00","‡","-3.0","","-3.7","","95","","13","","8","","2.0","","99.09","","","","-6","","Snow Showers,Fog"
"2014-02-01 09:00","2014","02","01","09:00","‡","-2.6","","-3.3","","95","","13","","8","","1.6","","99.09","","","","-6","","Snow Showers,Fog"
"2014-02-01 10:00","2014","02","01","10:00","‡","-2.2","","-3.0","","94","","12","","10","","2.0","","99.04","","","","-6","","Snow,Fog"
"2014-02-01 11:00","2014","02","01","11:00","‡","-1.8","","-2.8","","93","","9","","9","","1.6","","98.93","","","","-5","","Snow,Fog"
"2014-02-01 12:00","2014","02","01","12:00","‡","-1.2","","-2.2","","93","","9","","9","","1.0","","98.81","","","","-4","","Snow,Fog"
"2014-02-01 13:00","2014","02","01","13:00","‡","-0.9","","-1.8","","94","","10","","10","","1.0","","98.65","","","","-4","","Snow,Fog"
"2014-02-01 14:00","2014","02","01","14:00","‡","-0.7","","-1.6","","94","","9","","11","","2.0","","98.47","","","","-4","","Snow,Fog"
"2014-02-01 15:00","2014","02","01","15:00","‡","-0.3","","-1.0","","95","","13","","12","","2.0","","98.29","","","","-4","","Snow,Fog"
"2014-02-01 16:00","2014","02","01","16:00","‡","0.0","","-0.7","","95","","15","","12","","2.4","","98.17","","","","-4","","Rain,Snow,Fog"
"2014-02-01 17:00","2014","02","01","17:00","‡","0.2","","-0.5","","95","","22","","4","","1.6","","98.18","","","","","","Snow,Fog"
"2014-02-01 18:00","2014","02","01","18:00","‡","0.3","","-0.3","","96","","24","","5","","2.4","","98.11","","","","","","Rain,Snow,Fog"
"2014-02-01 19:00","2014","02","01","19:00","‡","0.8","","0.2","","96","","20","","16","","3.2","","98.11","","","","","","Rain,Fog"
"2014-02-01 20:00","2014","02","01","20:00","‡","1.7","","1.1","","96","","22","","24","","4.8","","98.08","","","","","","Rain,Fog"
"2014-02-01 21:00","2014","02","01","21:00","‡","2.3","","1.4","","94","","23","","31","","8.1","","98.05","","","","","","Rain,Fog"
"2014-02-01 22:00","2014","02","01","22:00","‡","1.5","","0.5","","93","","24","","24","","11.3","","98.09","","","","","","Rain,Snow"
"2014-02-01 23:00","2014","02","01","23:00","‡","0.4","","-0.3","","95","","24","","21","","3.2","","98.15","","","","","","Snow"
"2014-02-02 00:00","2014","02","02","00:00","‡","0.2","","-0.4","","96","","24","","15","","4.0","","98.17","","","","","","Snow"
"2014-02-02 01:00","2014","02","02","01:00","‡","0.1","","-0.5","","96","","26","","11","","3.2","","98.25","","","","","","Snow"
"2014-02-02 02:00","2014","02","02","02:00","‡","0.1","","-0.5","","96","","28","","9","","3.2","","98.32","","","","","","Snow"
"2014-02-02 03:00","2014","02","02","03:00","‡","-0.1","","-1.1","","93","","28","","9","","9.7","","98.40","","","","-3","","Fog"
"2014-02-02 04:00","2014","02","02","04:00","‡","-1.1","","-3.2","","86","","31","","13","","9.7","","98.48","","","","-5","","Fog"
"2014-02-02 05:00","2014","02","02","05:00","‡","-2.3","","-4.3","","86","","30","","18","","9.7","","98.52","","","","-8","","Fog"
"2014-02-02 06:00","2014","02","02","06:00","‡","-2.9","","-4.9","","86","","30","","15","","9.7","","98.61","","","","-8","","Fog"
"2014-02-02 07:00","2014","02","02","07:00","‡","-3.2","","-5.2","","86","","30","","13","","12.9","","98.68","","","","-8","","Mostly Cloudy"
"2014-02-02 08:00","2014","02","02","08:00","‡","-3.3","","-5.5","","85","","32","","9","","19.3","","98.73","","","","-7","","NA"
